"country";"eventId";"reportId";"disease";"subType";"eventStartDate";"reason";"reportStatus";"submissionDate";"reportNumber"
"Germany";"3735-tjeqy";"151248-4bl45";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"2.3.2021";"Recurrence of an eradicated disease";"Validated";"18.8.2021";"FUR_1"
"Germany";"3416-mdtla";"151247-svnjw";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"13.11.2020";"Recurrence of an eradicated disease";"Validated";"18.8.2021";"FUR_3"
"Germany";"3394-pig0w";"151246-n143i";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"12.11.2020";"Recurrence of an eradicated disease";"Validated";"18.8.2021";"FUR_5"
"Germany";"3732-81a1x";"151245-nxvx7";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"29.4.2021";"Recurrence of an eradicated disease";"Validated";"18.8.2021";"FUR_1"
"Germany";"3377-z3v5p";"151244-1e096";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"2.11.2020";"Recurrence of an eradicated disease";"Validated";"18.8.2021";"FUR_10"
"Germany";"3411-8r1gg";"151243-7x8gx";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N5";"19.11.2020";"Recurrence of an eradicated disease";"Validated";"18.8.2021";"FUR_1"
"Germany";"3746-swi7w";"151242-0a30x";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N4";"16.4.2021";"New strain in a zone or a compartment";"Validated";"18.8.2021";"FUR_1"
"Germany";"3525-2k75l";"151241-8tqex";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N3";"6.1.2021";"Recurrence of an eradicated disease";"Validated";"18.8.2021";"FUR_2"
"Germany";"3498-adk25";"151240-d5fyt";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"27.12.2020";"Recurrence of an eradicated disease";"Validated";"18.8.2021";"FUR_3"
"Germany";"3372-sbh7b";"151224-odw4f";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"4.11.2020";"Recurrence of an eradicated disease";"Validated";"17.8.2021";"FUR_10"
"Germany";"3361-86mgq";"151223-r2kok";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N5";"30.10.2020";"Recurrence of an eradicated disease";"Validated";"17.8.2021";"FUR_6"
"Germany";"3731-j8bqr";"151222-as8c6";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N4";"11.3.2021";"Recurrence of an eradicated disease";"Validated";"17.8.2021";"FUR_1"
"Germany";"3439-poap4";"151221-bphe2";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"8.12.2020";"Recurrence of an eradicated disease";"Validated";"17.8.2021";"FUR_3"
"Germany";"3356-x4bxl";"151219-rwjwe";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"26.10.2020";"Recurrence of an eradicated disease";"Validated";"17.8.2021";"FUR_10"
"Germany";"3677-9qy43";"151218-75ip2";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N4";"25.2.2021";"New strain in a zone or a compartment";"Validated";"17.8.2021";"FUR_1"
"Germany";"3749-uk647";"151216-3qxff";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"20.4.2021";"New strain in a zone or a compartment";"Validated";"17.8.2021";"FUR_1"
"Ireland";"3499-cg836";"151213-qekpw";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N3";"8.1.2021";"New strain in the country";"Validated";"17.8.2021";"FUR_2"
"Germany";"3414-646rv";"151212-dyeui";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"16.11.2020";"Recurrence of an eradicated disease";"Validated";"17.8.2021";"FUR_3"
"Germany";"3378-uufmy";"151211-c27x6";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"6.11.2020";"Recurrence of an eradicated disease";"Validated";"17.8.2021";"FUR_6"
"Germany";"3412-0qq82";"151209-kexaq";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"20.11.2020";"Recurrence of an eradicated disease";"Validated";"17.8.2021";"FUR_3"
"Romania";"3718-oapb3";"151197-5umqx";"Caprine arthritis/encephalitis";NaN;"12.5.2021";"Recurrence of an eradicated disease";"Validated";"17.8.2021";"FUR_1"
"Romania";"3669-wo59h";"151201-t4b1y";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N5";"19.2.2021";"Recurrence of an eradicated disease";"Validated";"17.8.2021";"FUR_1"
"Ireland";"3376-uxukr";"151194-1bdq6";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"29.10.2020";"Recurrence of an eradicated disease";"Validated";"16.8.2021";"FUR_10"
"Netherlands";"3862-72qyj";"151195-oae2x";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"3.8.2021";"Recurrence of an eradicated disease";"Validated";"16.8.2021";"FUR_1"
"Germany";"3401-l7t6t";"151189-epo7d";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"19.11.2020";"Recurrence of an eradicated disease";"Validated";"16.8.2021";"FUR_7"
"Germany";"3524-1xut2";"151188-r48d7";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N5";"22.1.2021";"Recurrence of an eradicated disease";"Validated";"16.8.2021";"FUR_2"
"Germany";"3729-pp1o2";"151187-ljtab";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"22.2.2021";"Recurrence of an eradicated disease";"Validated";"16.8.2021";"FUR_1"
"Germany";"3467-6dmy0";"151186-9npro";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5 (N untyped)";"24.12.2020";"Recurrence of an eradicated disease";"Validated";"16.8.2021";"FUR_4"
"Germany";"3523-8c9yx";"151184-qnefj";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N5";"11.1.2021";"Recurrence of an eradicated disease";"Validated";"16.8.2021";"FUR_3"
"Germany";"3522-90a0d";"151183-itd5j";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N4";"7.1.2021";"New strain in the country";"Validated";"16.8.2021";"FUR_1"
"Germany";"3395-jbwt5";"151171-57g41";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"16.11.2020";"Recurrence of an eradicated disease";"Validated";"16.8.2021";"FUR_14"
"Germany";"3369-vo5l4";"150658-wlt9d";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"4.11.2020";"Recurrence of an eradicated disease";"Validated";"16.8.2021";"FUR_11"
"Russia";"3722-nvsga";"151147-mk8ab";"Newcastle disease virus (Inf. with)";NaN;"12.5.2021";"Recurrence of an eradicated disease";"Validated";"13.8.2021";"FUR_1"
"Russia";"3787-e2dzg";"151136-58skl";"African swine fever virus (Inf. with)";NaN;"26.6.2021";"Recurrence of an eradicated disease";"Validated";"13.8.2021";"FUR_1"
"Russia";"3773-bl70b";"151135-abhvr";"African swine fever virus (Inf. with)";NaN;"12.6.2021";"Recurrence of an eradicated disease";"Validated";"13.8.2021";"FUR_2"
"Russia";"3724-u1pmj";"151104-kzaql";"African swine fever virus (Inf. with)";NaN;"18.4.2021";"Recurrence of an eradicated disease";"Validated";"13.8.2021";"FUR_1"
"Russia";"2821-y0ynv";"150625-ds5vq";"African swine fever virus (Inf. with)";NaN;"22.2.2019";"Recurrence of an eradicated disease";"Validated";"11.8.2021";"FUR_83"
"Denmark";"3794-s9r0l";"151059-0d1yz";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"4.7.2021";"Recurrence of an eradicated disease";"Validated";"9.8.2021";"FUR_2"
"Czech Republic";"3514-i9f38";"150851-gyjrk";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"20.1.2021";"Recurrence of an eradicated disease";"Validated";"30.7.2021";"FUR_11"
"Bulgaria";"3831-ckfnk";"150822-u7hgn";"African swine fever virus (Inf. with)";NaN;"19.7.2021";"Recurrence of an eradicated disease";"Validated";"21.7.2021";"IN"
"Ukraine";"3660-a5b0e";"150816-4rl1h";"African swine fever virus (Inf. with)";NaN;"12.4.2021";"Recurrence of an eradicated disease";"Validated";"21.7.2021";"FUR_2"
"Czech Republic";"3509-iby89";"150793-fxj4d";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"20.1.2021";"Recurrence of an eradicated disease";"Validated";"20.7.2021";"FUR_11"
"Netherlands";"3355-0o2i6";"150750-wxkzv";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"29.10.2020";"Recurrence of an eradicated disease";"Validated";"16.7.2021";"FUR_12"
"Russia";"3802-7qyqe";"150721-s3ibu";"African swine fever virus (Inf. with)";NaN;"30.6.2021";"Recurrence of an eradicated disease";"Validated";"15.7.2021";"FUR_1"
"Belgium";"3410-h4o38";"150708-cblui";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N5";"18.11.2020";"Recurrence of an eradicated disease";"Validated";"14.7.2021";"FUR_2"
"Bulgaria";"3676-x17le";"150608-sw4ul";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5 (N untyped)";"22.4.2021";"Recurrence of an eradicated disease";"Validated";"12.7.2021";"FUR_1"
"Bosnia and Herzegovina";"3352-952qs";"150573-0uj04";"Bluetongue virus (Inf. with)";"4";"9.10.2020";"Recurrence of an eradicated disease";"Validated";"12.7.2021";"FUR_2"
"Germany";"3483-nhjty";"150671-3s6mh";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"5.1.2021";"Recurrence of an eradicated disease";"Validated";"9.7.2021";"FUR_4"
"Germany";"3645-q88zd";"150656-cxpai";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"16.3.2021";"Recurrence of an eradicated disease";"Validated";"9.7.2021";"FUR_2"
"Germany";"3462-bc8zw";"150655-kqywx";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"24.12.2020";"Recurrence of an eradicated disease";"Validated";"9.7.2021";"FUR_4"
"Germany";"3642-164ld";"150653-nb36h";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"1.3.2021";"Recurrence of an eradicated disease";"Validated";"9.7.2021";"FUR_3"
"Germany";"3705-hspbx";"150652-kykc7";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"14.4.2021";"Recurrence of an eradicated disease";"Validated";"9.7.2021";"FUR_2"
"Germany";"3695-xg9fo";"150651-39abq";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"23.2.2021";"Recurrence of an eradicated disease";"Validated";"9.7.2021";"FUR_3"
"Germany";"3385-6hogo";"150646-3cs9q";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"11.11.2020";"Recurrence of an eradicated disease";"Validated";"9.7.2021";"FUR_12"
"Germany";"3382-62rer";"150645-e12nj";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N5";"9.11.2020";"Recurrence of an eradicated disease";"Validated";"9.7.2021";"FUR_2"
"Germany";"3737-dvm80";"150642-h7sjo";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"23.5.2021";"Recurrence of an eradicated disease";"Validated";"9.7.2021";"FUR_2"
"Germany";"3469-kdk7p";"150640-rf8yk";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"27.12.2020";"Recurrence of an eradicated disease";"Validated";"9.7.2021";"FUR_7"
"Germany";"3643-z89hl";"150639-jwpzt";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"1.3.2021";"Recurrence of an eradicated disease";"Validated";"9.7.2021";"FUR_2"
"Germany";"3528-c3vq3";"150638-vv61g";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"28.1.2021";"Recurrence of an eradicated disease";"Validated";"9.7.2021";"FUR_4"
"Germany";"3704-mvq8q";"150637-glv55";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N5";"4.3.2021";"Recurrence of an eradicated disease";"Validated";"9.7.2021";"FUR_1"
"Germany";"3651-piorl";"150636-5im06";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"22.3.2021";"Recurrence of an eradicated disease";"Validated";"9.7.2021";"FUR_5"
"Netherlands";"3614-fmk9p";"150611-3h9co";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N4";"22.2.2021";"New strain in the country";"Validated";"8.7.2021";"FUR_2"
"Netherlands";"3448-bflkh";"150610-9947f";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"14.12.2020";"Recurrence of an eradicated disease";"Validated";"8.7.2021";"FUR_2"
"Netherlands";"3341-oz28w";"150614-50xnz";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"17.10.2020";"Recurrence of an eradicated disease";"Validated";"7.7.2021";"FUR_15"
"Netherlands";"3374-r2crc";"150613-mubd4";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"16.10.2020";"New strain in the country";"Validated";"7.7.2021";"FUR_9"
"Netherlands";"3764-3uqlg";"150612-yl2xv";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N3";"4.1.2021";"New strain in the country";"Validated";"7.7.2021";"FUR_1"
"Denmark";"3707-p3dlp";"150529-cvv5f";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"1.3.2021";"New strain in the country";"Validated";"2.7.2021";"FUR_1"
"Denmark";"3435-iue50";"150527-6x0hn";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"7.12.2020";"Recurrence of an eradicated disease";"Validated";"2.7.2021";"FUR_4"
"Moldova";"3111-0rwqe";"150444-vob05";"African swine fever virus (Inf. with)";NaN;"24.1.2020";"First occurrence in a zone or a compartment";"Validated";"30.6.2021";"FUR_64"
"Italy";"3447-bvbyq";"150440-u7r0d";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"21.11.2020";"Recurrence of an eradicated disease";"Validated";"23.6.2021";"FUR_5"
"Romania";"3702-vs6wr";"150436-c3lkr";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"5.5.2021";"Recurrence of an eradicated disease";"Validated";"23.6.2021";"FUR_4"
"Ukraine";"3671-bkf64";"150414-ezf1b";"African swine fever virus (Inf. with)";NaN;"20.4.2021";"Recurrence of an eradicated disease";"Validated";"22.6.2021";"FUR_1"
"Russia";"3654-6v3db";"150405-simqp";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N5";"30.3.2021";"Recurrence of an eradicated disease";"Validated";"21.6.2021";"FUR_1"
"Russia";"3675-fqjou";"150404-w91jx";"Sheep pox and goat pox";NaN;"5.4.2021";"Recurrence of an eradicated disease";"Validated";"21.6.2021";"FUR_2"
"Russia";"3647-p0w33";"150403-ptgyo";"African swine fever virus (Inf. with)";NaN;"1.4.2021";"Recurrence of an eradicated disease";"Validated";"21.6.2021";"FUR_1"
"Russia";"3620-pxsvh";"150402-4gisz";"African swine fever virus (Inf. with)";NaN;"5.3.2021";"First occurrence in a zone or a compartment";"Validated";"21.6.2021";"FUR_1"
"Russia";"3583-qxlha";"150401-tbo2h";"African swine fever virus (Inf. with)";NaN;"24.2.2021";"Recurrence of an eradicated disease";"Validated";"21.6.2021";"FUR_1"
"Russia";"3771-rvx8l";"150377-6vuy9";"African swine fever virus (Inf. with)";NaN;"29.4.2021";"Recurrence of an eradicated disease";"Validated";"21.6.2021";"IN"
"Serbia";"3762-qwkrj";"150391-tsvgi";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"6.3.2021";"Recurrence of an eradicated disease";"Validated";"18.6.2021";"FUR_1"
"Russia";"3646-od3ro";"150362-vv3ts";"African swine fever virus (Inf. with)";NaN;"3.4.2021";"Recurrence of an eradicated disease";"Validated";"16.6.2021";"FUR_1"
"Netherlands";"3442-0lmv5";"150118-bzlad";"Low pathogenic avian influenza (poultry) (2006-2021)";"H5N2";"4.12.2020";"Recurrence of an eradicated disease";"Validated";"16.6.2021";"FUR_3"
"Russia";"3693-4hzye";"150353-qr4ss";"African swine fever virus (Inf. with)";NaN;"25.4.2021";"Recurrence of an eradicated disease";"Validated";"16.6.2021";"FUR_1"
"Italy";"3446-ebdau";"150328-3gvaw";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N5";"28.11.2020";"Recurrence of an eradicated disease";"Validated";"15.6.2021";"FUR_1"
"Denmark";"3380-zlz8f";"150276-x6hj3";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"31.10.2020";"Recurrence of an eradicated disease";"Validated";"11.6.2021";"FUR_5"
"Denmark";"3555-vd0dw";"150264-c0e93";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N3";"1.1.2021";"New strain in the country";"Validated";"10.6.2021";"FUR_3"
"Denmark";"3371-8dsvq";"150263-nt2cy";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N5";"30.10.2020";"Recurrence of an eradicated disease";"Validated";"10.6.2021";"FUR_4"
"Denmark";"3391-n5vvh";"150261-421ar";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"15.11.2020";"Recurrence of an eradicated disease";"Validated";"10.6.2021";"FUR_5"
"Germany";"3516-8f9tc";"150235-eqdim";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"20.1.2021";"Recurrence of an eradicated disease";"Validated";"8.6.2021";"FUR_2"
"Russia";"3313-38c7u";"150180-q8x6j";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"18.9.2020";"First occurrence in a zone or a compartment";"Validated";"8.6.2021";"FUR_10"
"Ukraine";"3576-0i2up";"150187-zllpo";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5 (N untyped)";"28.2.2021";"Recurrence of an eradicated disease";"Validated";"4.6.2021";"FUR_2"
"Ukraine";"3611-wzy2q";"150185-15hr4";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5 (N untyped)";"5.3.2021";"Recurrence of an eradicated disease";"Validated";"4.6.2021";"FUR_1"
"Ukraine";"3621-h5u45";"150184-auft2";"African swine fever virus (Inf. with)";NaN;"23.3.2021";"Recurrence of an eradicated disease";"Validated";"4.6.2021";"FUR_1"
"Ukraine";"3637-203q8";"150177-98dtz";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5 (N untyped)";"2.4.2021";"Recurrence of an eradicated disease";"Validated";"4.6.2021";"FUR_1"
"Luxembourg";"3742-gppsf";"150129-eq9vq";"Avian infectious laryngotracheitis";NaN;"3.5.2021";"Recurrence of an eradicated disease";"Validated";"4.6.2021";"IN"
"Greece";"3633-2hcft";"150148-zgbi2";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"22.3.2021";"Recurrence of an eradicated disease";"Validated";"2.6.2021";"FUR_3"
"Sweden";"3472-a06yd";"150127-awrjk";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"2.1.2021";"Recurrence of an eradicated disease";"Validated";"31.5.2021";"FUR_20"
"Italy";"3513-p013x";"150083-pa3ul";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"22.1.2021";"Recurrence of an eradicated disease";"Validated";"28.5.2021";"FUR_4"
"Ukraine";"3426-n9oxn";"150102-t7drn";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5 (N untyped)";"2.12.2020";"Recurrence of an eradicated disease";"Validated";"28.5.2021";"FUR_6"
"Ukraine";"3547-m76sw";"150023-ebgxe";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"1.2.2021";"First occurrence in a zone or a compartment";"Validated";"21.5.2021";"FUR_2"
"Ukraine";"3461-659vs";"150022-3t917";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"23.12.2020";"First occurrence in a zone or a compartment";"Validated";"21.5.2021";"FUR_4"
"Ukraine";"3468-uipgv";"150018-jdxta";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5 (N untyped)";"28.12.2020";"Recurrence of an eradicated disease";"Validated";"21.5.2021";"FUR_1"
"Russia";"2983-e9dwa";"149479-gmtrd";"African swine fever virus (Inf. with)";NaN;"30.7.2019";"First occurrence in a zone or a compartment";"Validated";"20.5.2021";"FUR_64"
"Austria";"3544-mpnug";"149942-1dtui";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"4.2.2021";"Recurrence of an eradicated disease";"Validated";"19.5.2021";"FUR_6"
"Austria";"3552-zi89h";"149941-o95wx";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N5";"10.2.2021";"New strain in the country";"Validated";"19.5.2021";"FUR_3"
"Austria";"3623-mdf64";"149940-qwg1s";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5 (N untyped)";"19.2.2021";"Recurrence of an eradicated disease";"Validated";"19.5.2021";"FUR_1"
"Hungary";"3656-5trzm";"149966-pwxdf";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"10.4.2021";"Recurrence of an eradicated disease";"Validated";"18.5.2021";"FUR_3"
"Italy";"3542-6vn47";"149915-wen1i";"Low pathogenic avian influenza (poultry) (2006-2021)";"H7N7";"29.1.2021";"Recurrence of an eradicated disease";"Validated";"14.5.2021";"FUR_1"
"Croatia";"3398-pxit0";"149855-riz7d";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"17.11.2020";"Recurrence of an eradicated disease";"Validated";"14.5.2021";"FUR_2"
"Slovakia";"3512-owo31";"149893-hi332";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N5";"22.1.2021";"Recurrence of an eradicated disease";"Validated";"12.5.2021";"FUR_3"
"Russia";"3459-cz9lb";"149787-z4rtw";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"17.12.2020";"Recurrence of an eradicated disease";"Validated";"11.5.2021";"FUR_3"
"Croatia";"3604-wdrfb";"149847-8iv68";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"1.3.2021";"Recurrence of an eradicated disease";"Validated";"10.5.2021";"FUR_2"
"Czech Republic";"3612-9rx15";"149833-70iwo";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N5";"24.2.2021";"Recurrence of an eradicated disease";"Validated";"7.5.2021";"FUR_3"
"Finland";"3551-sghkd";"149829-1924t";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"8.2.2021";"First occurrence in a zone or a compartment";"Validated";"7.5.2021";"FUR_7"
"Norway";"3697-61jow";"149814-1gtc6";"Equid herpesvirus-1 (Inf. with) (Equine rhinopneumonitis) (2014-)";NaN;"26.4.2021";"Recurrence of an eradicated disease";"Validated";"6.5.2021";"IN"
"Sweden";"3570-uqs83";"149812-4k3fr";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"23.2.2021";"Recurrence of an eradicated disease";"Validated";"6.5.2021";"FUR_8"
"Russia";"3638-9hoct";"149791-s7exp";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N5";"23.3.2021";"Recurrence of an eradicated disease";"Validated";"4.5.2021";"FUR_1"
"Russia";"3670-yvz1x";"149790-ywld7";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5 (N untyped)";"31.3.2021";"Recurrence of an eradicated disease";"Validated";"4.5.2021";"FUR_1"
"Russia";"3346-vh39d";"149786-o924e";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"10.10.2020";"Recurrence of an eradicated disease";"Validated";"4.5.2021";"FUR_1"
"France";"3674-jvwcg";"149676-xljws";"Aujeszky's disease virus (Inf. with)";NaN;"12.3.2021";"Recurrence of an eradicated disease";"Validated";"26.4.2021";"FUR_2"
"Romania";"3520-dc30s";"149672-6lfl0";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"13.1.2021";"Recurrence of an eradicated disease";"Validated";"26.4.2021";"FUR_1"
"Croatia";"3336-vx6au";"149658-kmhvs";"Bluetongue virus (Inf. with)";"4";"6.10.2020";"Recurrence of an eradicated disease";"Validated";"26.4.2021";"FUR_8"
"Spain";"3665-444ey";"149569-phelt";"Bovine spongiform encephalopathy";NaN;"24.3.2021";"Recurrence of an eradicated disease";"Validated";"19.4.2021";"IN"
"Spain";"3515-wr9df";"149561-95gae";"SARS-CoV-2 in animals (Inf. with)";NaN;"8.1.2021";"Emerging disease";"Validated";"16.4.2021";"FUR_1"
"Spain";"3500-cot1q";"149554-hf6q7";"SARS-CoV-2 in animals (Inf. with)";NaN;"3.12.2020";"Emerging disease";"Validated";"16.4.2021";"FUR_1"
"Spain";"3409-ql5dq";"149553-zksvs";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N8";"19.11.2020";"Recurrence of an eradicated disease";"Validated";"16.4.2021";"FUR_3"
"Spain";"3400-os3bb";"149552-xoeq8";"Bluetongue virus (Inf. with)";"8";"8.10.2020";"Recurrence of an eradicated disease";"Validated";"16.4.2021";"FUR_3"
"Lithuania";"3481-gequd";"149525-ypr7w";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N8";"31.12.2020";"Recurrence of an eradicated disease";"Validated";"13.4.2021";"FUR_3"
"Sweden";"3581-p9nhp";"149416-pluh6";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N5";"2.3.2021";"Recurrence of an eradicated disease";"Validated";"6.4.2021";"FUR_3"
"Ukraine";"3451-z76da";"149386-s43pg";"African swine fever virus (Inf. with)";NaN;"16.12.2020";"Recurrence of an eradicated disease";"Validated";"2.4.2021";"FUR_3"
"Ukraine";"3422-mx7yg";"149382-qc1w2";"African swine fever virus (Inf. with)";NaN;"27.11.2020";"Recurrence of an eradicated disease";"Validated";"2.4.2021";"FUR_1"
"Ukraine";"3339-k5rrn";"149373-mdzxr";"African swine fever virus (Inf. with)";NaN;"19.10.2020";"Recurrence of an eradicated disease";"Validated";"1.4.2021";"FUR_2"
"Switzerland";"3094-sxlgu";"149370-6bygj";"Bluetongue virus (Inf. with)";"8";"7.1.2020";"Recurrence of an eradicated disease";"Validated";"1.4.2021";"FUR_4"
